	RSE	RRSE
3	9.714492	3.116808
15	8.057598	2.8385909
44	111.53669	10.561093
4596	75.09338	8.665644
1886	13.687045	3.6996007
628	32.925716	5.7380934
1991	6.4688935	2.543402
635	92.797966	9.63317
4597	46.343895	6.807635
738	2.8214114	1.6797057
4598	7.839061	2.7998323
4599	7.4848876	2.7358522
4600	81.62098	9.034433
871	25.899769	5.0891814
4189	31.670662	5.6276693
4601	2.943861	1.7157683
1424	50.009468	7.0717373
4602	36.36863	6.030641
4603	42.40277	6.511741
1083	32.558067	5.705968
4604	5.7846036	2.4051204
4605	45.159428	6.7200766
4606	3.9198253	1.9798548
4607	9.340568	3.0562341
1848	18.1311	4.258063
1989	209.75362	14.482873
4608	1.9195726	1.3854864
3176	2.353762	1.5341974
1520	84.15778	9.173755
4609	1.5598193	1.2489272
4610	1.1699712	1.081652
4611	3.1075947	1.7628372
